collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2020320331954,2020,320331954,1,1,1,2,39,7,3,0,0,0,0,0,9,7,E01026053,-1,0,0.08715,0.91285,-1
2020010235515,2020,010235515,1,1,3,2,24,5,2,8,1,0,0,0,0,5,E01002202,-1,0,1,0,-1
2020460955103,2020,460955103,2,1,1,1,46,8,2,0,0,0,0,0,1,7,E01032825,7,1,1,0,-1
202031C173020,2020,31C173020,2,1,1,1,33,6,3,0,0,0,0,0,3,3,E01028187,-1,0,0.11873,0.88127,-1
2020010234859,2020,010234859,1,1,1,1,26,6,3,0,0,0,0,0,9,4,E01000498,-1,0,0,1,-1
20201373D1087,2020,1373D1087,1,1,1,2,44,7,3,0,0,0,0,0,9,1,E01011293,-1,0,0.03384,0.96616,-1
2020470938504,2020,470938504,2,1,1,1,76,11,2,0,0,0,0,0,1,-1,-1,7,1,1,0,-1
2020450988657,2020,450988657,1,1,1,1,27,6,3,0,0,0,0,0,3,9,E01030539,3,1,0,1,-1
2020010284537,2020,010284537,3,2,1,1,55,8,3,0,0,0,0,0,9,5,E01000337,-1,0,0,1,-1
2020471006266,2020,471006266,2,1,1,1,46,8,3,0,0,0,0,0,9,4,E01020952,3,1,0,1,-1
2020552000281,2020,552000281,2,1,1,2,42,7,3,0,0,0,0,0,9,4,E01020935,-1,0,0.01588,0.98412,-1
2020010244513,2020,010244513,2,1,1,1,43,7,3,0,0,0,0,0,1,9,E01003894,-1,0,0,1,-1
2020100976919,2020,100976919,1,1,3,2,51,8,1,1,1,0,0,0,0,-1,-1,1,1,0,0,-1
2020010273430,2020,010273430,1,1,1,1,31,6,3,0,0,0,0,0,1,1,E01004382,-1,0,0,1,-1
2020302001303,2020,302001303,1,1,1,1,83,11,3,0,0,0,0,0,9,7,E01019636,-1,0,0.06991,0.93009,-1
2020470953050,2020,470953050,1,1,1,1,53,8,3,0,0,0,0,0,9,1,E01020978,3,1,0,1,-1
2020545355220,2020,545355220,1,1,1,1,29,6,3,0,0,0,0,0,9,10,E01023189,-1,0,0.08132,0.91868,-1
2020622001021,2020,622001021,1,1,1,1,18,4,3,0,0,0,0,0,9,3,W01001286,-1,0,0.07985,0.92015,-1
2020137350370,2020,137350370,1,1,3,1,38,7,3,5,1,0,0,0,0,6,E01011026,-1,0,0.06815,0.93185,-1
2020161004769,2020,161004769,2,1,1,1,55,8,2,0,0,0,0,0,1,1,E01013144,7,1,1,0,-1
2020140959653,2020,140959653,1,1,3,2,56,9,3,6,9,0,0,0,0,1,E01007352,3,1,0,1,-1
202031A101420,2020,31A101420,1,1,3,1,89,11,1,9,5,0,0,0,0,5,E01028243,-1,0,0,0,-1
2020010249474,2020,010249474,2,1,1,1,28,6,3,0,0,0,0,0,1,4,E01002718,-1,0,0,1,-1
2020460928485,2020,460928485,1,1,1,2,28,6,2,0,0,0,0,0,9,3,E01024280,7,1,1,0,-1
2020221005178,2020,221005178,2,1,1,1,28,6,2,0,0,0,0,0,1,1,E01028957,7,1,1,0,-1
2020211026901,2020,211026901,1,1,3,2,22,5,3,6,9,0,0,0,0,5,E01014365,3,1,0,1,-1
2020440015640,2020,440015640,1,1,3,2,65,9,3,5,3,0,0,0,0,10,E01022644,-1,0,0.18383,0.81617,-1
2020320645438,2020,320645438,1,1,1,2,62,9,2,0,0,0,0,0,1,4,E01026250,-1,0,1,0,-1
2020010268871,2020,010268871,2,3,1,1,43,7,3,0,0,0,0,0,9,7,E01002871,-1,0,0,1,-1
2020052002233,2020,052002233,1,1,1,1,55,8,3,0,0,0,0,0,9,2,E01006910,-1,0,0.05384,0.94616,-1
2020220931621,2020,220931621,1,2,2,1,17,4,3,0,0,1,0,0,9,2,E01009999,3,1,0,1,-1
2020302000681,2020,302000681,2,3,1,2,36,7,3,0,0,0,0,0,9,6,E01019489,-1,0,0.03569,0.96431,-1
2020430270171,2020,430270171,2,2,1,2,56,9,3,0,0,0,0,0,9,7,E01027004,-1,0,0.07983,0.92017,-1
2020500942286,2020,500942286,1,1,1,1,37,7,3,0,0,0,0,0,9,4,E01018914,3,1,0,1,-1
20201376N1092,2020,1376N1092,1,1,1,1,15,3,3,0,0,0,0,0,1,-1,-1,-1,0,0.14734,0.85266,-1
2020040986341,2020,040986341,1,1,1,1,53,8,2,0,0,0,0,0,5,9,E01006400,7,1,1,0,-1
2020320509753,2020,320509753,1,2,1,1,61,9,3,0,0,0,0,0,9,8,E01032997,-1,0,0.04033,0.95967,-1
2020460943274,2020,460943274,2,1,1,1,-1,-1,3,0,0,0,0,0,9,4,E01024086,3,1,0,1,-1
2020010264804,2020,010264804,2,2,2,1,63,9,3,0,0,1,0,0,9,4,E01000609,-1,0,0,1,-1
2020990968954,2020,990968954,1,1,1,2,30,6,3,0,0,0,0,0,9,3,-1,3,1,0,1,-1
202006M277962,2020,06M277962,2,1,1,1,50,8,3,0,0,0,0,0,1,1,E01005113,-1,0,0.16003,0.83997,-1
2020500996182,2020,500996182,1,1,1,1,18,4,2,0,0,0,0,0,3,4,E01020290,7,1,1,0,-1
2020010231048,2020,010231048,2,4,2,2,6,2,3,0,0,2,0,0,9,6,E01003843,-1,0,0,1,-1
2020221013628,2020,221013628,1,1,1,2,41,7,3,0,0,0,0,0,9,8,E01028937,3,1,0,1,-1
2020340D01212,2020,340D01212,1,1,1,1,34,6,3,0,0,0,0,0,9,-1,-1,-1,0,0.11648,0.88352,-1
20201376O0892,2020,1376O0892,2,2,2,1,30,6,3,0,0,1,0,0,19,2,E01031010,-1,0,0.04852,0.95148,-1
2020200953186,2020,200953186,1,1,1,1,23,5,3,0,0,0,0,0,9,2,E01010096,3,1,0,1,-1
2020552000130,2020,552000130,1,1,1,2,67,10,3,0,0,0,0,0,9,6,E01020456,-1,0,0.07389,0.92611,-1
2020302001663,2020,302001663,1,1,3,1,36,7,3,5,9,0,0,0,0,6,E01019876,-1,0,0.17512,0.82488,-1
